feature,importance_gain,importance_split
historical_delay_rate,5739288.767550468,10787
travel_p50,3033314.8900532722,7839
travel_p90,1314144.344726801,9009
straight_line_distance_km,701805.2927072048,13471
expected_time,376675.69290828705,6668
TIMESTAMP,301188.3691315651,10730
speed_median,249775.94577217102,9241
origin_lat,246966.03374958038,11322
hour,213780.579662323,7309
origin_lon,212774.66483473778,11194
weekday,183461.18961930275,4327
CALL_TYPE,182481.4660396576,2852
driver_speed_median,161294.39187455177,8487
driver_delay_rate,146150.5793838501,8110
TAXI_ID,120169.85677790642,7655
temperature_2m,119718.30320262909,7740
origin_delay_rate,110071.72146987915,6938
windspeed_10m,85611.97169089317,6686
ORIGIN_STAND,76080.18586468697,3339
ORIGIN_CALL,68129.62266540527,3199
precipitation,38110.189638614655,1924
origin_lon_grid,18931.86872291565,891
origin_lat_grid,14635.088139295578,680
DAY_TYPE,0.0,0
